Ensembl	Gene	"Gene synonym"	"Gene description"	Uniprot	Chromosome	Position	"Protein class"	"Biological process"	"Molecular function"	"Disease involvement"
ENSG00000172247	C1QTNF4	"CTRP4, ZACRP4"	"C1q and TNF related 4"	Q9BXJ3	11	47589664-47594659	"Predicted secreted proteins"		Cytokine	"Disease mutation"
ENSG00000175161	CADM2	"IGSF4D, Necl-3, NECL3, SynCAM2"	"Cell adhesion molecule 2"	Q8N3J6	3	84958981-86074429	"Predicted membrane proteins"	"Cell adhesion"		
ENSG00000267909	CCDC177	"C14orf162, PLPL"	"Coiled-coil domain containing 177"	Q9NQR7	14	69569816-69574837	"Predicted intracellular proteins"			
ENSG00000184258	CDR1	"CDR, CDR34, CDR62A"	"Cerebellar degeneration related protein 1"	P51861	X	140782405-140784871	"Predicted intracellular proteins"			
ENSG00000101489	CELF4	BRUNOL4	"CUGBP Elav-like family member 4"	Q9BZC1	18	37243047-37566037	"Predicted intracellular proteins"	"mRNA processing, mRNA splicing"	"Activator, RNA-binding"	
ENSG00000169862	CTNND2	"GT24, NPRAP"	"Catenin delta 2"	Q9UQB3	5	10971840-11904043	"Disease related genes, Predicted intracellular proteins"	"Cell adhesion, Transcription, Transcription regulation, Wnt signaling pathway"	"Developmental protein"	"Autism, Autism spectrum disorder, Disease mutation"
ENSG00000136267	DGKB	"DAGK2, DGK, DGK-BETA, KIAA0718"	"Diacylglycerol kinase beta"	Q9Y6T7	7	14145049-14974777	"Enzymes, Plasma proteins, Predicted intracellular proteins"		"Kinase, Transferase"	
ENSG00000159784	FAM131B	KIAA0773	"Family with sequence similarity 131 member B"	Q86XD5	7	143353400-143362770	"Predicted intracellular proteins"			
ENSG00000158815	FGF17	FGF-13	"Fibroblast growth factor 17"	O60258	8	22042398-22048809	"Cancer-related genes, Disease related genes, Predicted secreted proteins, RAS pathway related proteins"		"Developmental protein, Growth factor"	"Cancer-related genes, Disease mutation, Hypogonadotropic hypogonadism, Kallmann syndrome"
ENSG00000174721	FGFBP3	"C10orf13, MGC39320"	"Fibroblast growth factor binding protein 3"	Q8TAT2	10	91906589-91909483	"Predicted secreted proteins"		"Growth factor binding, Heparin-binding"	
ENSG00000176165	FOXG1	"BF1, FKH2, FKHL1, FKHL2, FKHL3, FKHL4, FOXG1A, FOXG1B, FOXG1C, HBF-3, HFK1, HFK2, HFK3, QIN"	"Forkhead box G1"	P55316	14	28760330-28770277	"Disease related genes, Predicted intracellular proteins, Transcription factors"	"Transcription, Transcription regulation"	"Developmental protein, DNA-binding"	"Disease mutation, Mental retardation"
ENSG00000011677	GABRA3		"Gamma-aminobutyric acid type A receptor alpha3 subunit"	P34903	X	152166234-152451358	"FDA approved drug targets, Predicted membrane proteins, Transporters"	"Ion transport, Transport"	"Chloride channel, Ion channel, Ligand-gated ion channel, Receptor"	"FDA approved drug targets"
ENSG00000113327	GABRG2		"Gamma-aminobutyric acid type A receptor gamma2 subunit"	P18507	5	162000057-162162977	"Disease related genes, FDA approved drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters"	"Ion transport, Transport"	"Chloride channel, Ion channel"	"Disease mutation, Epilepsy, FDA approved drug targets"
ENSG00000128683	GAD1	GAD	"Glutamate decarboxylase 1"	Q99259	2	170813213-170861151	"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins"	"Neurotransmitter biosynthesis"	"Decarboxylase, Lyase"	"Disease mutation"
ENSG00000087258	GNAO1	G-ALPHA-o	"G protein subunit alpha o1"	P09471	16	56191347-56357457	"Disease related genes, Predicted intracellular proteins"		Transducer	"Disease mutation, Epilepsy"
ENSG00000155511	GRIA1	"GluA1, GLUR1, GLURA"	"Glutamate ionotropic receptor AMPA type subunit 1"	P42261	5	153489615-153813869	"FDA approved drug targets, Plasma proteins, Predicted membrane proteins"	"Ion transport, Transport"	"Ion channel, Ligand-gated ion channel, Receptor"	"FDA approved drug targets"
ENSG00000215045	GRID2IP		"Grid2 interacting protein"	A4D2P6	7	6497462-6551436	"Predicted intracellular proteins"			
ENSG00000111262	KCNA1	"AEMK, HUK1, Kv1.1, MBK1, RBK1"	"Potassium voltage-gated channel subfamily A member 1"	Q09470	12	4909893-4918256	"Disease related genes, FDA approved drug targets, Predicted intracellular proteins, Predicted membrane proteins, Voltage-gated ion channels"	"Ion transport, Potassium transport, Transport"	"Ion channel, Potassium channel, Voltage-gated channel"	"Disease mutation, FDA approved drug targets"
ENSG00000166006	KCNC2	Kv3.2	"Potassium voltage-gated channel subfamily C member 2"	Q96PR1	12	75040077-75209868	"Disease related genes, FDA approved drug targets, Predicted membrane proteins, Voltage-gated ion channels"	"Ion transport, Potassium transport, Transport"	"Ion channel, Potassium channel, Voltage-gated channel"	"FDA approved drug targets"
ENSG00000184408	KCND2	"KIAA1044, Kv4.2, RK5"	"Potassium voltage-gated channel subfamily D member 2"	Q9NZV8	7	120273668-120750331	"Disease related genes, FDA approved drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters, Voltage-gated ion channels"	"Ion transport, Potassium transport, Transport"	"Ion channel, Potassium channel, Voltage-gated channel"	"Autism, Autism spectrum disorder, Disease mutation, Epilepsy, FDA approved drug targets"
ENSG00000182450	KCNK4	"K2p4.1, TRAAK"	"Potassium two pore domain channel subfamily K member 4"	Q9NYG8	11	64291302-64300031	"Predicted intracellular proteins, Predicted membrane proteins, Voltage-gated ion channels"	"Ion transport, Potassium transport, Transport"	"Ion channel, Potassium channel, Voltage-gated channel"	"Disease mutation, Epilepsy, Mental retardation"
ENSG00000148948	LRRC4C	"KIAA1580, NGL-1"	"Leucine rich repeat containing 4C"	Q9HCJ2	11	40114203-41459773	"Predicted intracellular proteins, Predicted membrane proteins"			
ENSG00000008735	MAPK8IP2	"IB2, JIP2, PRKM8IPL"	"Mitogen-activated protein kinase 8 interacting protein 2"	Q13387	22	50600685-50613981	"Predicted intracellular proteins"			
ENSG00000133816	MICAL2	KIAA0750	"Microtubule associated monooxygenase, calponin and LIM domain containing 2"	"O94851, Q6ZW33"	11	12094008-12359144	"Enzymes, Predicted intracellular proteins, Predicted membrane proteins"	"Differentiation, Spermatogenesis"	"Actin-binding, Developmental protein, Monooxygenase, Oxidoreductase"	
ENSG00000251349	MSANTD3-TMEFF1	C9orf30-TMEFF1	"MSANTD3-TMEFF1 readthrough"		9	100442271-100577636	"Predicted membrane proteins"			
ENSG00000138653	NDST4		"N-deacetylase and N-sulfotransferase 4"	Q9H3R1	4	114827763-115113876	"Enzymes, Predicted intracellular proteins"		"Hydrolase, Multifunctional enzyme, Transferase"	
ENSG00000125522	NPBWR2	GPR8	"Neuropeptides B and W receptor 2"	P48146	20	64105820-64107171	"G-protein coupled receptors, Predicted membrane proteins, Transporters"		"G-protein coupled receptor, Receptor, Transducer"	
ENSG00000148734	NPFFR1	"GPR147, NPFF1R1, OT7T022"	"Neuropeptide FF receptor 1"	Q9GZQ6	10	70247329-70283676	"G-protein coupled receptors, Predicted membrane proteins"		"G-protein coupled receptor, Receptor, Transducer"	
ENSG00000112333	NR2E1	"TLL, TLX, XTLL"	"Nuclear receptor subfamily 2 group E member 1"	Q9Y466	6	108166058-108188809	"Nuclear receptors, Predicted intracellular proteins, Transcription factors"	"Transcription, Transcription regulation"	"Activator, Developmental protein, DNA-binding, Receptor, Repressor"	
ENSG00000165802	NSMF	NELF	"NMDA receptor synaptonuclear signaling and neuronal migration factor"	Q6X4W1	9	137447573-137459334	"Disease related genes, Predicted intracellular proteins"			"Disease mutation, Hypogonadotropic hypogonadism, Kallmann syndrome"
ENSG00000130558	OLFM1	"AMY, NOE1, NOELIN, OlfA"	"Olfactomedin 1"	Q99784	9	135075422-135121179	"Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins"		"Developmental protein"	
ENSG00000101349	PAK5	"KIAA1264, PAK7"	"P21 (RAC1) activated kinase 5"	Q9P286	20	9537389-9839041	"Enzymes, Plasma proteins, Predicted intracellular proteins, RAS pathway related proteins"	Apoptosis	"Kinase, Serine/threonine-protein kinase, Transferase"	
ENSG00000185988	PLK5	"PLK5P, SgK384ps"	"Polo like kinase 5"	Q496M5	19	1524074-1536046	"Enzymes, Predicted intracellular proteins"	"Cell cycle, Cell division, Differentiation, Mitosis"		
ENSG00000117600	PLPPR4	"KIAA0455, LPPR4, PHP1, PRG-1"	"Phospholipid phosphatase related 4"	Q7Z2D5	1	99263953-99309590	"Enzymes, Predicted membrane proteins"		Hydrolase	
ENSG00000139220	PPFIA2		"PTPRF interacting protein alpha 2"	O75334	12	81257975-81759553	"Predicted intracellular proteins"			
ENSG00000188191	PRKAR1B		"Protein kinase cAMP-dependent type I regulatory subunit beta"	P31321	7	549197-727650	"Predicted intracellular proteins"			
ENSG00000176381	PRR18	MGC35308	"Proline rich 18"	Q8N4B5	6	166305300-166308448	"Predicted intracellular proteins"			
ENSG00000161992	PRR35	C16orf11	"Proline rich 35"	P0CG20	16	560422-565528	"Predicted intracellular proteins"			
ENSG00000106278	PTPRZ1	"phosphacan, PTP18, PTPRZ, PTPZ, RPTPB"	"Protein tyrosine phosphatase, receptor type Z1"	P23471	7	121873089-122062036	"Enzymes, Plasma proteins, Predicted membrane proteins, Predicted secreted proteins"		"Hydrolase, Protein phosphatase"	
ENSG00000107014	RLN2	"bA12D24.1.1, bA12D24.1.2, H2, RLXH2"	"Relaxin 2"	P04090	9	5299868-5304969	"Predicted intracellular proteins, Predicted secreted proteins"		Hormone	
ENSG00000108309	RUNDC3A	"RAP2IP, RPIP8"	"RUN domain containing 3A"	Q59EK9	17	44308413-44318671	"Predicted intracellular proteins"			
ENSG00000166257	SCN3B	HSA243396	"Sodium voltage-gated channel beta subunit 3"	Q9NY72	11	123629187-123655244	"Disease related genes, FDA approved drug targets, Predicted intracellular proteins, Predicted membrane proteins"	"Ion transport, Sodium transport, Transport"	"Ion channel, Sodium channel, Voltage-gated channel"	"Atrial fibrillation, Brugada syndrome, Disease mutation, FDA approved drug targets"
ENSG00000163536	SERPINI1	"neuroserpin, PI12"	"Serpin family I member 1"	Q99574	3	167735243-167825568	"Disease related genes, Predicted intracellular proteins, Predicted secreted proteins"		"Protease inhibitor, Serine protease inhibitor"	"Disease mutation, Neurodegeneration"
ENSG00000107295	SH3GL2	"CNSA2, EEN-B1, SH3D2A, SH3P4"	"SH3 domain containing GRB2 like 2, endophilin A1"	Q99962	9	17579082-17797129	"Predicted intracellular proteins"	Endocytosis		
ENSG00000124140	SLC12A5	"KCC2, KIAA1176"	"Solute carrier family 12 member 5"	Q9H2X9	20	46021690-46060152	"Disease related genes, FDA approved drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters"	"Ion transport, Potassium transport, Symport, Transport"		"Disease mutation, Epilepsy, FDA approved drug targets"
ENSG00000187122	SLIT1	"MEGF4, SLIL1, Slit-1, slit1, SLIT3"	"Slit guidance ligand 1"	O75093	10	96998038-97185920	"Predicted secreted proteins"	"Differentiation, Neurogenesis"	"Developmental protein"	
ENSG00000268182	SMIM17		"Small integral membrane protein 17"	P0DL12	19	56643145-56655766	"Predicted intracellular proteins, Predicted membrane proteins"			
ENSG00000136854	STXBP1	"hUNC18, MUNC18-1, rbSec1, UNC18"	"Syntaxin binding protein 1"	P61764	9	127579370-127696027	"Disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins"	"Protein transport, Transport"		"Disease mutation, Epilepsy, Mental retardation"
ENSG00000185518	SV2B	"HsT19680, KIAA0735"	"Synaptic vesicle glycoprotein 2B"	Q7L1I2	15	91099950-91301309	"Predicted membrane proteins"	"Neurotransmitter transport, Transport"		
ENSG00000143858	SYT2		"Synaptotagmin 2"	Q8N9I0	1	202590596-202710417	"Disease related genes, FDA approved drug targets, Predicted membrane proteins"	Differentiation		"Congenital myasthenic syndrome, Disease mutation, FDA approved drug targets"
ENSG00000144834	TAGLN3	"NP22, NP25"	"Transgelin 3"	Q9UI15	3	111998664-112013887	"Plasma proteins, Predicted intracellular proteins"			
ENSG00000164124	TMEM144	FLJ11155	"Transmembrane protein 144"	Q7Z5S9	4	158201604-158255411	"Predicted intracellular proteins, Predicted membrane proteins"			
ENSG00000167614	TTYH1		"Tweety family member 1"	Q9H313	19	54415219-54436900	"Predicted membrane proteins, Transporters"	"Cell adhesion, Ion transport, Transport"	"Chloride channel, Ion channel"	
ENSG00000137267	TUBB2A	"dJ40E16.7, TUBB, TUBB2"	"Tubulin beta 2A class IIa"	Q13885	6	3153669-3157526	"Disease related genes, Predicted intracellular proteins"			"Disease mutation"
ENSG00000154277	UCHL1	"PARK5, PGP9.5, Uch-L1"	"Ubiquitin C-terminal hydrolase L1"	P09936	4	41256413-41268455	"Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins"	"Ubl conjugation pathway"	"Hydrolase, Protease, Thiol protease"	"Disease mutation, Hereditary spastic paraplegia, Neurodegeneration, Parkinson disease, Parkinsonism"
ENSG00000128245	YWHAH	YWHA1	"Tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein eta"	Q04917	22	31944461-31957603	"Cancer-related genes, Plasma proteins, Predicted intracellular proteins"			"Cancer-related genes"
ENSG00000198597	ZNF536	KIAA0390	"Zinc finger protein 536"	O15090	19	30228290-30713538	"Predicted intracellular proteins, Transcription factors"	"Transcription, Transcription regulation"	DNA-binding	
ENSG00000258472	AC005726.1				17	28455752-28614197	"Predicted intracellular proteins"			
ENSG00000260836	AC245033.1				15	82536788-82573194	"Predicted intracellular proteins"			
ENSG00000078053	AMPH		Amphiphysin	P49418	7	38383704-38631567	"Cancer-related genes, Predicted intracellular proteins"			"Cancer-related genes"
ENSG00000272031	ANKRD34A	ANKRD34	"Ankyrin repeat domain 34A"	Q69YU3	1	145959442-145964582	"Predicted intracellular proteins"			
ENSG00000105290	APLP1	APLP	"Amyloid beta precursor like protein 1"	P51693	19	35867899-35879791	"Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins"	"Apoptosis, Cell adhesion, Endocytosis"	Heparin-binding	Neurodegeneration
ENSG00000129244	ATP1B2	AMOG	"ATPase Na+/K+ transporting subunit beta 2"	P14415	17	7646627-7657768	"Predicted intracellular proteins, Predicted membrane proteins"	"Cell adhesion, Ion transport, Potassium transport, Sodium transport, Sodium/potassium transport, Transport"		
ENSG00000160469	BRSK1	KIAA1811	"BR serine/threonine kinase 1"	Q8TDC3	19	55282072-55312533	"Enzymes, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins"	"Cell cycle, DNA damage, Neurogenesis"	"Kinase, Serine/threonine-protein kinase, Transferase"	
ENSG00000164061	BSN	ZNF231	"Bassoon presynaptic cytomatrix protein"	Q9UPA5	3	49554489-49671545	"Plasma proteins, Predicted intracellular proteins"			
ENSG00000189195	BTBD8		"BTB domain containing 8"	Q5XKL5	1	92080305-92184725	"Predicted intracellular proteins"			
ENSG00000081803	CADPS2	CAPS2	"Calcium dependent secretion activator 2"	Q86UW7	7	122318425-122886759	"Predicted intracellular proteins"	"Exocytosis, Protein transport, Transport"		
ENSG00000110931	CAMKK2	"CAMKK, CAMKKB, KIAA0787, MGC15254"	"Calcium/calmodulin dependent protein kinase kinase 2"	Q96RR4	12	121237691-121298308	"Enzymes, Predicted intracellular proteins, Predicted membrane proteins"		"Calmodulin-binding, Kinase, Serine/threonine-protein kinase, Transferase"	
ENSG00000040731	CDH10		"Cadherin 10"	Q9Y6N8	5	24487100-24644978	"Predicted membrane proteins"	"Cell adhesion"		
ENSG00000149654	CDH22	"C20orf25, dJ998H6.1"	"Cadherin 22"	Q9UJ99	20	46173733-46308498	"Predicted membrane proteins"	"Cell adhesion"		
ENSG00000081138	CDH7		"Cadherin 7"	Q9ULB5	18	65750252-65890341	"Predicted membrane proteins"	"Cell adhesion"		
ENSG00000176749	CDK5R1	"Nck5a, p35, p35nck5a"	"Cyclin dependent kinase 5 regulatory subunit 1"	Q15078	17	32486619-32491256	"Predicted intracellular proteins"	"Biological rhythms"		
ENSG00000161082	CELF5	BRUNOL5	"CUGBP Elav-like family member 5"	Q8N6W0	19	3224703-3297076	"Predicted intracellular proteins"	"mRNA processing"	RNA-binding	
ENSG00000223802	CERS1	"LAG1, LASS1, UOG1"	"Ceramide synthase 1"	P27544	19	18868545-18896727	"Disease related genes, Predicted intracellular proteins, Predicted membrane proteins"	"Lipid biosynthesis, Lipid metabolism"	Transferase	"Disease mutation, Epilepsy"
ENSG00000128656	CHN1	"ARHGAP2, CHN, DURS2, n-chimerin, RhoGAP2"	"Chimerin 1"	P15882	2	174799363-175005369	"Disease related genes, Plasma proteins, Predicted intracellular proteins"	Neurogenesis	"GTPase activation"	"Disease mutation"
ENSG00000146352	CLVS2	"bA160A10.4, C6orf212, C6orf213, RLBP1L2"	"Clavesin 2"	Q5SYC1	6	122995971-123072927	"Predicted intracellular proteins"			
ENSG00000149970	CNKSR2	"CNK2, KIAA0902, KSR2"	"Connector enhancer of kinase suppressor of Ras 2"	Q8WXI2	X	21372801-21654695	"Predicted intracellular proteins"			"Disease mutation, Mental retardation"
ENSG00000242689	CNTF	HCNTF	"Ciliary neurotrophic factor"	P26441	11	58622673-58625733	"Cancer-related genes, Plasma proteins, Predicted intracellular proteins"	"Differentiation, Neurogenesis"	"Developmental protein, Growth factor"	"Cancer-related genes"
ENSG00000155052	CNTNAP5	"caspr5, FLJ31966"	"Contactin associated protein like 5"	Q8WYK1	2	124025287-124915287	"Predicted membrane proteins"	"Cell adhesion"		
ENSG00000109943	CRTAM	CD355	"Cytotoxic and regulatory T cell molecule"	O95727	11	122838500-122872639	"CD markers, Predicted membrane proteins"	"Adaptive immunity, Cell adhesion, Immunity"		
ENSG00000164796	CSMD3		"CUB and Sushi multiple domains 3"	Q7Z407	8	112222928-113437099	"Predicted membrane proteins"			
ENSG00000178531	CTXN1	FLJ25968	"Cortexin 1"	P60606	19	7924485-7926166	"Predicted membrane proteins"			
ENSG00000132535	DLG4	"PSD-95, PSD95, SAP-90, SAP90"	"Discs large MAGUK scaffold protein 4"	P78352	17	7189890-7219702	"Predicted intracellular proteins, Transporters"			
ENSG00000170579	DLGAP1	"DAP-1, GKAP, SAPAP1"	"DLG associated protein 1"	O14490	18	3496032-4455335	"Predicted intracellular proteins"			
ENSG00000157851	DPYSL5	"CRAM, CRMP-5, CRMP5, Ulip6"	"Dihydropyrimidinase like 5"	Q9BPU6	2	26847747-26950351	"Plasma proteins, Predicted intracellular proteins"			
ENSG00000102385	DRP2		"Dystrophin related protein 2"	Q13474	X	101219769-101264497	"Predicted intracellular proteins"			
ENSG00000164778	EN2		"Engrailed homeobox 2"	P19622	7	155458129-155464831	"Disease related genes, Predicted intracellular proteins, Transcription factors"		"Developmental protein, DNA-binding"	"Autism, Autism spectrum disorder"
ENSG00000135472	FAIM2	"KIAA0950, LFG, LFG2, LIFEGUARD, NMP35, TMBIM2"	"Fas apoptotic inhibitory molecule 2"	Q9BWQ8	12	49866896-49904217	"Predicted membrane proteins"	Apoptosis		
ENSG00000196990	FAM163B	C9orf166	"Family with sequence similarity 163 member B"	P0C2L3	9	133578415-133586197	"Predicted membrane proteins"			
ENSG00000257365	FNTB	FPTB	"Farnesyltransferase, CAAX box, beta"	P49356	14	64986720-65062652	"Enzymes, Predicted intracellular proteins"		"Prenyltransferase, Transferase"	
ENSG00000188352	FOCAD	"FLJ20375, KIAA1797"	Focadhesin	Q5VW36	9	20658309-20995955	"Predicted intracellular proteins, Predicted membrane proteins"			
ENSG00000136750	GAD2	GAD65	"Glutamate decarboxylase 2"	Q05329	10	26216307-26304558	"Enzymes, Predicted intracellular proteins"	"Neurotransmitter biosynthesis"	"Decarboxylase, Lyase"	
ENSG00000118702	GHRH	GHRF	"Growth hormone releasing hormone"	P01286	20	37251082-37261835	"Predicted secreted proteins"			
ENSG00000176533	GNG7	FLJ00058	"G protein subunit gamma 7"	O60262	19	2511219-2702709	"Predicted intracellular proteins, RAS pathway related proteins"		Transducer	
ENSG00000181656	GPR88		"G protein-coupled receptor 88"	Q9GZN0	1	100538137-100542018	"Disease related genes, G-protein coupled receptors, Potential drug targets, Predicted membrane proteins"		"G-protein coupled receptor, Receptor, Transducer"	"Mental retardation"
ENSG00000183454	GRIN2A	"GluN2A, NMDAR2A"	"Glutamate ionotropic receptor NMDA type subunit 2A"	Q12879	16	9753404-10182754	"Cancer-related genes, Disease related genes, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins, RAS pathway related proteins, Transporters"	"Ion transport, Transport"	"Ion channel, Ligand-gated ion channel, Receptor"	"Cancer-related genes, Disease mutation, Epilepsy, FDA approved drug targets"
ENSG00000152822	GRM1	"GPRC1A, mGlu1, MGLUR1, PPP1R85"	"Glutamate metabotropic receptor 1"	Q13255	6	146027646-146437598	"Disease related genes, G-protein coupled receptors, Plasma proteins, Potential drug targets, Predicted membrane proteins, Transporters"		"G-protein coupled receptor, Receptor, Transducer"	"Disease mutation, Neurodegeneration, Spinocerebellar ataxia"
ENSG00000137252	HCRTR2	OX2R	"Hypocretin receptor 2"	O43614	6	55106460-55282620	"FDA approved drug targets, G-protein coupled receptors, Predicted membrane proteins"		"G-protein coupled receptor, Receptor, Transducer"	"FDA approved drug targets"
ENSG00000221932	HEPN1		"Hepatocellular carcinoma, down-regulated 1"	Q6WQI6	11	124919244-124920677	"Predicted intracellular proteins"			
ENSG00000182601	HS3ST4	3OST4	"Heparan sulfate-glucosamine 3-sulfotransferase 4"	Q9Y661	16	25692026-26137688	"Enzymes, Predicted membrane proteins"		Transferase	
ENSG00000157219	HTR5A	5-HT5A	"5-hydroxytryptamine receptor 5A"	P47898	7	155070324-155085749	"G-protein coupled receptors, Predicted membrane proteins"		"G-protein coupled receptor, Receptor, Transducer"	
ENSG00000177301	KCNA2	"HK4, Kv1.2"	"Potassium voltage-gated channel subfamily A member 2"	P16389	1	110519837-110631474	"Disease related genes, FDA approved drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters, Voltage-gated ion channels"	"Ion transport, Potassium transport, Transport"	"Ion channel, Potassium channel, Voltage-gated channel"	"Disease mutation, Epilepsy, FDA approved drug targets"
ENSG00000075043	KCNQ2	"BFNC, EBN, EBN1, ENB1, HNSPC, KCNA11, Kv7.2"	"Potassium voltage-gated channel subfamily Q member 2"	O43526	20	63400210-63472677	"Disease related genes, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins, Transporters, Voltage-gated ion channels"	"Ion transport, Potassium transport, Transport"	"Ion channel, Potassium channel, Voltage-gated channel"	"Disease mutation, Epilepsy, FDA approved drug targets, Mental retardation"
ENSG00000156486	KCNS2	Kv9.2	"Potassium voltage-gated channel modifier subfamily S member 2"	Q9ULS6	8	98427022-98432848	"Predicted membrane proteins, Transporters, Voltage-gated ion channels"	"Ion transport, Potassium transport, Transport"	"Ion channel, Potassium channel, Voltage-gated channel"	
ENSG00000183775	KCTD16	KIAA1317	"Potassium channel tetramerization domain containing 16"	Q68DU8	5	144170832-144485686	"Predicted intracellular proteins"			
ENSG00000137261	KIAA0319	NMIG	KIAA0319	Q5VV43	6	24544104-24646155	"Disease related genes, Predicted membrane proteins, Predicted secreted proteins"	Neurogenesis	"Developmental protein"	
ENSG00000130294	KIF1A	"ATSV, C2orf20, SPG30, UNC104"	"Kinesin family member 1A"	Q12756	2	240713764-240820308	"Disease related genes, Predicted intracellular proteins"		"Motor protein"	"Disease mutation, Hereditary spastic paraplegia, Mental retardation, Neurodegeneration, Neuropathy"
ENSG00000131899	LLGL1	"DLG4, HUGL, HUGL-1, Lgl1, LLGL, Mgl1"	"LLGL1, scribble cell polarity complex component"	Q15334	17	18225587-18244875	"Predicted intracellular proteins"	Exocytosis		
ENSG00000105695	MAG	"GMA, S-MAG, SIGLEC-4A, SIGLEC4A"	"Myelin associated glycoprotein"	P20916	19	35292125-35313804	"Disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins"	"Cell adhesion"		"Disease mutation, Hereditary spastic paraplegia, Neurodegeneration"
ENSG00000105613	MAST1	"KIAA0973, SAST"	"Microtubule associated serine/threonine kinase 1"	Q9Y2H9	19	12833951-12874951	"Enzymes, Predicted intracellular proteins, Predicted membrane proteins"		"Kinase, Serine/threonine-protein kinase, Transferase"	"Disease mutation, Mental retardation"
ENSG00000124089	MC3R	MC3	"Melanocortin 3 receptor"	P41968	20	56248732-56249815	"G-protein coupled receptors, Predicted membrane proteins"	"Biological rhythms"	"G-protein coupled receptor, Receptor, Transducer"	
ENSG00000168502	MTCL1	"CCDC165, KIAA0802, SOGA2"	"Microtubule crosslinking factor 1"	Q9Y4B5	18	8705661-8832778	"Plasma proteins, Predicted intracellular proteins"			
ENSG00000186487	MYT1L	"KIAA1106, NZF1, ZC2H2C2, ZC2HC4B"	"Myelin transcription factor 1 like"	Q9UL68	2	1789113-2331348	"Disease related genes, Predicted intracellular proteins, Transcription factors"	"Differentiation, Neurogenesis, Transcription, Transcription regulation"	"Developmental protein, DNA-binding, Repressor"	"Autism spectrum disorder, Mental retardation"
ENSG00000186462	NAP1L2	"BPX, MGC26243"	"Nucleosome assembly protein 1 like 2"	Q9ULW6	X	73212299-73214848	"Predicted intracellular proteins"			
ENSG00000123119	NECAB1	EFCBP1	"N-terminal EF-hand calcium binding protein 1"	Q8N987	8	90791550-90959408	"Predicted intracellular proteins"			
ENSG00000104722	NEFM	"NEF3, NF-M, NFM"	"Neurofilament medium"	P07197	8	24913012-24919098	"Plasma proteins, Predicted intracellular proteins"			
ENSG00000101198	NKAIN4	"bA261N11.2, C20orf58, FAM77A"	"Sodium/potassium transporting ATPase interacting 4"	Q8IVV8	20	63240784-63272694	"Predicted intracellular proteins, Predicted membrane proteins"			
ENSG00000152954	NRSN1	"p24, VMP"	"Neurensin 1"	Q8IZ57	6	24126122-24154900	"Predicted intracellular proteins, Predicted membrane proteins, Transporters"			
ENSG00000170091	NSG2	"CALY3, HMP19, Nsg2"	"Neuronal vesicle trafficking associated 2"	Q9Y328	5	174045604-174243501	"Predicted intracellular proteins, Predicted membrane proteins"			
ENSG00000112038	OPRM1	MOR1	"Opioid receptor mu 1"	P35372	6	154010496-154246867	"FDA approved drug targets, G-protein coupled receptors, Predicted membrane proteins, Transporters"		"G-protein coupled receptor, Receptor, Transducer"	"FDA approved drug targets"
ENSG00000189181	OR14I1	"OR5BU1, OR5BU1P"	"Olfactory receptor family 14 subfamily I member 1"	A6ND48	1	248681369-248682304	"G-protein coupled receptors, Predicted membrane proteins"	"Olfaction, Sensory transduction"	"G-protein coupled receptor, Receptor, Transducer"	
ENSG00000124507	PACSIN1	SDPI	"Protein kinase C and casein kinase substrate in neurons 1"	Q9BY11	6	34466061-34535231	"Plasma proteins, Predicted intracellular proteins"	Endocytosis		
ENSG00000204965	PCDHA5	"CNR6, CNRN6, CNRS6, CRNR6, PCDH-ALPHA5"	"Protocadherin alpha 5"	Q9Y5H7	5	140821604-141012344	"Predicted membrane proteins"	"Cell adhesion"		
ENSG00000253846	PCDHGA10	PCDH-GAMMA-A10	"Protocadherin gamma subfamily A, 10"	Q9Y5H3	5	141412987-141512979	"Predicted membrane proteins"	"Cell adhesion"		
ENSG00000165434	PGM2L1	"BM32A, FLJ32029"	"Phosphoglucomutase 2 like 1"	Q6PCE3	11	74330318-74398473	"Enzymes, Predicted intracellular proteins"	"Carbohydrate metabolism, Glucose metabolism"	"Isomerase, Transferase"	
ENSG00000139200	PIANP	"C12orf53, DKFZp547D2210, PANP"	"PILR alpha associated neural protein"	Q8IYJ0	12	6693792-6700800	"Predicted intracellular proteins, Predicted membrane proteins"			
ENSG00000021300	PLEKHB1	"KPL1, PHR1, PHRET1"	"Pleckstrin homology domain containing B1"	Q9UF11	11	73646178-73662819	"Predicted intracellular proteins"		"Developmental protein"	
