Ensembl	Gene	"Gene synonym"	"Gene description"	Uniprot	Chromosome	Position	"Protein class"	"Biological process"	"Molecular function"	"Disease involvement"
ENSG00000164236	ANKRD33B		"Ankyrin repeat domain 33B"	A6NCL7	5	10564330-10657816	"Predicted intracellular proteins"			
ENSG00000235711	ANKRD34C		"Ankyrin repeat domain 34C"	P0C6C1	15	79293285-79298235	"Predicted intracellular proteins"			
ENSG00000154945	ANKRD40	MGC15396	"Ankyrin repeat domain 40"	Q6AI12	17	50693190-50707924	"Predicted intracellular proteins"			
ENSG00000135299	ANKRD6	KIAA0957	"Ankyrin repeat domain 6"	Q9Y2G4	6	89433170-89633834	"Predicted intracellular proteins"			
ENSG00000235098	ANKRD65		"Ankyrin repeat domain 65"	E5RJM6	1	1418420-1421769	"Predicted intracellular proteins"			
ENSG00000230062	ANKRD66		"Ankyrin repeat domain 66"	B4E2M5	6	46746917-46759506	"Predicted intracellular proteins"			
ENSG00000165138	ANKS6	"ANKRD14, FLJ36928, NPHP16, SAMD6"	"Ankyrin repeat and sterile alpha motif domain containing 6"	Q68DC2	9	98731329-98796965	"Disease related genes, Predicted intracellular proteins"			"Ciliopathy, Disease mutation, Joubert syndrome, Nephronophthisis"
ENSG00000011426	ANLN	"ANILLIN, scra, Scraps"	"Anillin actin binding protein"	Q9NQW6	7	36389806-36453791	"Disease related genes, Predicted intracellular proteins"	"Cell cycle, Cell division, Mitosis"	Actin-binding	"Disease mutation"
ENSG00000151572	ANO4	"FLJ34221, FLJ34272, FLJ35277, TMEM16D"	"Anoctamin 4"	Q32M45	12	100717526-101128641	"Predicted intracellular proteins, Predicted membrane proteins"	"Lipid transport, Transport"		
ENSG00000074855	ANO8	"KIAA1623, TMEM16H"	"Anoctamin 8"	Q9HCE9	19	17323223-17334829	"Predicted membrane proteins"			
ENSG00000011201	ANOS1	"ADMLX, KAL, KAL1, KALIG-1, WFDC19"	"Anosmin 1"	P23352	X	8528874-8732186	"Disease related genes, Predicted secreted proteins"	"Cell adhesion, Chemotaxis"	"Heparin-binding, Protease inhibitor, Serine protease inhibitor"	"Disease mutation, Hypogonadotropic hypogonadism, Kallmann syndrome"
ENSG00000284873	AP000790.3				11	59938432-59957480	"Predicted intracellular proteins"			
ENSG00000106367	AP1S1	"AP19, CLAPS1, EKV3, SIGMA1A, WUGSC:H_DJ0747G18.2"	"Adaptor related protein complex 1 sigma 1 subunit"	P61966	7	101154400-101161596	"Disease related genes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Transporters"	"Protein transport, Transport"		"Deafness, Ichthyosis, Mental retardation, Neuropathy"
ENSG00000103723	AP3B2	NAPTB	"Adaptor related protein complex 3 beta 2 subunit"	Q13367	15	82659281-82709914	"Disease related genes, Predicted intracellular proteins"	"Protein transport, Transport"		Epilepsy
ENSG00000107282	APBA1	"D9S411E, MINT1, X11"	"Amyloid beta precursor protein binding family A member 1"	Q02410	9	69427530-69672306	"Predicted intracellular proteins"	"Protein transport, Transport"		
ENSG00000166313	APBB1	"Fe65, RIR"	"Amyloid beta precursor protein binding family B member 1"	O00213	11	6395124-6419414	"Plasma proteins, Predicted intracellular proteins"	"Apoptosis, DNA damage, Transcription, Transcription regulation"	"Activator, Chromatin regulator, Repressor"	
ENSG00000113108	APBB3	FE65L2	"Amyloid beta precursor protein binding family B member 3"	O95704	5	140558268-140564781	"Predicted intracellular proteins"			
ENSG00000134982	APC	"DP2, DP2.5, DP3, PPP1R46"	"APC, WNT signaling pathway regulator"	P25054	5	112707498-112846239	"Cancer-related genes, Disease related genes, Plasma proteins, Predicted intracellular proteins"	"Wnt signaling pathway"		"Cancer-related genes, Disease mutation, Tumor suppressor"
ENSG00000171388	APLN	"apelin, XNPEP2"	Apelin	Q9ULZ1	X	129645259-129654937	"Predicted secreted proteins"	"Angiogenesis, Gastrulation, Host-virus interaction"	"Developmental protein, Hormone"	
ENSG00000134287	ARF3		"ADP ribosylation factor 3"	P61204	12	48935723-48957551	"Plasma proteins, Predicted intracellular proteins"	"ER-Golgi transport, Protein transport, Transport"		
ENSG00000112379	ARFGEF3	"BIG3, C6orf92, dJ171N11.1, KIAA1244, PPP1R33"	"ARFGEF family member 3"	Q5TH69	6	138161921-138344663	"Predicted intracellular proteins"		"Guanine-nucleotide releasing factor"	
ENSG00000107863	ARHGAP21	"ARHGAP10, KIAA1424"	"Rho GTPase activating protein 21"	Q5T5U3	10	24583609-24723668	"Predicted intracellular proteins"		"GTPase activation"	
ENSG00000275832	ARHGAP23	KIAA1501	"Rho GTPase activating protein 23"	Q9P227	17	38419280-38512392	"Predicted intracellular proteins"		"GTPase activation"	
ENSG00000134909	ARHGAP32	"GC-GAP, GRIT, KIAA0712, MGC1892, RICS"	"Rho GTPase activating protein 32"	A7KAX9	11	128965060-129279324	"Cancer-related genes, Predicted intracellular proteins"		"GTPase activation"	"Cancer-related genes"
ENSG00000147256	ARHGAP36	FLJ30058	"Rho GTPase activating protein 36"	Q6ZRI8	X	131058242-131089883	"Predicted intracellular proteins"		"GTPase activation"	
ENSG00000006740	ARHGAP44	"KIAA0672, RICH-2, RICH2"	"Rho GTPase activating protein 44"	Q17R89	17	12789539-12991643	"Predicted intracellular proteins"	Exocytosis	"GTPase activation"	
ENSG00000136002	ARHGEF4	"ASEF, KIAA1112, STM6"	"Rho guanine nucleotide exchange factor 4"	Q9NR80	2	130836916-131047263	"Plasma proteins, Predicted intracellular proteins"		"Guanine-nucleotide releasing factor"	
ENSG00000131089	ARHGEF9	"KIAA0424, PEM-2"	"Cdc42 guanine nucleotide exchange factor 9"	O43307	X	63634967-63809274	"Disease related genes, Predicted intracellular proteins"		"Guanine-nucleotide releasing factor"	"Disease mutation, Epilepsy"
ENSG00000196503	ARL9		"ADP ribosylation factor like GTPase 9"	Q6T311	4	56505209-56525481	"Predicted intracellular proteins"			
ENSG00000165309	ARMC3	"CT81, FLJ32827"	"Armadillo repeat containing 3"	Q5W041	10	22928024-23038523	"Predicted intracellular proteins"			
ENSG00000128989	ARPP19	"ARPP-16, ARPP-19, ARPP16, ENSAL"	"CAMP regulated phosphoprotein 19"	P56211	15	52547045-52569883	"Predicted intracellular proteins"	"Cell cycle, Cell division, Mitosis"	"Protein phosphatase inhibitor"	
ENSG00000140450	ARRDC4	FLJ36045	"Arrestin domain containing 4"	Q8NCT1	15	97960698-97973838	"Predicted intracellular proteins"			
ENSG00000062096	ARSF		"Arylsulfatase F"	P54793	X	3041471-3112726	"Predicted membrane proteins, Predicted secreted proteins"		Hydrolase	
ENSG00000099889	ARVCF		"ARVCF, delta catenin family member"	O00192	22	19969896-20016808	"Predicted intracellular proteins"	"Cell adhesion"		
ENSG00000004848	ARX	"CT121, EIEE1, ISSX, MRX29, MRX32, MRX33, MRX36, MRX38, MRX43, MRX54, MRX76, MRX87, MRXS1, PRTS"	"Aristaless related homeobox"	Q96QS3	X	25003694-25016420	"Disease related genes, Plasma proteins, Predicted intracellular proteins, Transcription factors"	"Differentiation, Neurogenesis, Transcription, Transcription regulation"	"Developmental protein, DNA-binding"	"Disease mutation, Epilepsy, Lissencephaly, Mental retardation"
ENSG00000139352	ASCL1	"ASH1, bHLHa46, HASH1"	"Achaete-scute family bHLH transcription factor 1"	P50553	12	102957686-102960516	"Predicted intracellular proteins, Transcription factors"	"Differentiation, Neurogenesis, Transcription, Transcription regulation"	"Activator, Developmental protein, DNA-binding"	
ENSG00000232237	ASCL5	bHLHa47	"Achaete-scute family bHLH transcription factor 5"	Q7RTU5	1	201113953-201127184	"Predicted intracellular proteins, Transcription factors"	"Transcription, Transcription regulation"	DNA-binding	
ENSG00000213199	ASIC3	"ACCN3, DRASIC, TNaC1"	"Acid sensing ion channel subunit 3"	Q9UHC3	7	151048292-151052756	"Predicted membrane proteins"	"Ion transport, Sodium transport, Transport"	"Ion channel, Sodium channel"	
ENSG00000072182	ASIC4	"ACCN4, BNAC4"	"Acid sensing ion channel subunit family member 4"	Q96FT7	2	219514170-219538772	"Predicted membrane proteins"	"Ion transport, Sodium transport, Transport"	"Ion channel, Sodium channel"	
ENSG00000196433	ASMT	"ASMTY, HIOMT, HIOMTY"	"Acetylserotonin O-methyltransferase"	P46597	X	1615001-1643081	"Enzymes, Predicted intracellular proteins"	"Melatonin biosynthesis"	"Methyltransferase, Transferase"	
ENSG00000108381	ASPA	"ACY2, ASP"	Aspartoacylase	P45381	17	3472374-3503419	"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins"		Hydrolase	"Disease mutation, Leukodystrophy"
ENSG00000174939	ASPHD1		"Aspartate beta-hydroxylase domain containing 1"	Q5U4P2	16	29900375-29919864	"Predicted intracellular proteins, Predicted membrane proteins"		"Dioxygenase, Oxidoreductase"	
ENSG00000128203	ASPHD2	FLJ39838	"Aspartate beta-hydroxylase domain containing 2"	Q6ICH7	22	26429273-26445015	"Predicted membrane proteins"		"Dioxygenase, Oxidoreductase"	
ENSG00000141431	ASXL3	KIAA1713	"Additional sex combs like 3, transcriptional regulator"	Q9C0F0	18	33578233-33751192	"Disease related genes, Predicted intracellular proteins"	"Transcription, Transcription regulation"	Repressor	
ENSG00000198513	ATL1	"AD-FSP, FSP1, SPG3, SPG3A"	"Atlastin GTPase 1"	Q8WXF7	14	50532509-50633068	"Disease related genes, Predicted intracellular proteins, Predicted membrane proteins"		Hydrolase	"Disease mutation, Hereditary spastic paraplegia, Neurodegeneration, Neuropathy"
ENSG00000118322	ATP10B	"ATPVB, FLJ21477, KIAA0715"	"ATPase phospholipid transporting 10B (putative)"	O94823	5	160563120-160852214	"Enzymes, Predicted intracellular proteins, Predicted membrane proteins"	"Lipid transport, Transport"	Translocase	
ENSG00000159363	ATP13A2	"CLN12, HSA9947, PARK9"	"ATPase 13A2"	Q9NQ11	1	16985958-17011928	"Disease related genes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters"	Transport	Translocase	"Disease mutation, Hereditary spastic paraplegia, Neurodegeneration, Neuronal ceroid lipofuscinosis, Parkinsonism"
ENSG00000070961	ATP2B1	PMCA1	"ATPase plasma membrane Ca2+ transporting 1"	P20020	12	89588049-89709300	"Enzymes, Plasma proteins, Predicted membrane proteins"	"Calcium transport, Ion transport, Transport"	"Calmodulin-binding, Translocase"	
ENSG00000033627	ATP6V0A1	"a1, ATP6N1, ATP6N1A, Stv1, Vph1, VPP1"	"ATPase H+ transporting V0 subunit a1"	Q93050	17	42458844-42522611	"Predicted intracellular proteins, Predicted membrane proteins, Transporters"	"Hydrogen ion transport, Ion transport, Transport"		
ENSG00000171130	ATP6V0E2	"ATP6V0E2L, C7orf32"	"ATPase H+ transporting V0 subunit e2"	Q8NHE4	7	149872968-149880698	"Predicted membrane proteins"	"Hydrogen ion transport, Ion transport, Transport"	Hydrolase	
ENSG00000054793	ATP9A	"ATPIIA, KIAA0611"	"ATPase phospholipid transporting 9A (putative)"	O75110	20	51596514-51768634	"Enzymes, Predicted membrane proteins, Transporters"		Translocase	
ENSG00000107518	ATRNL1	"ALP, FLJ45344, KIAA0534"	"Attractin like 1"	Q5VV63	10	115093365-115948992	"Predicted intracellular proteins, Predicted membrane proteins"			
ENSG00000142920	AZIN2	"ADC, KIAA1945, ODC-p, ODC1L, ODCp"	"Antizyme inhibitor 2"	Q96A70	1	33081104-33120530	"Predicted intracellular proteins"	"Polyamine biosynthesis, Transport"		
ENSG00000162630	B3GALT2	beta3Gal-T2	"Beta-1,3-galactosyltransferase 2"	O43825	1	193179045-193186654	"Enzymes, Predicted membrane proteins"		"Glycosyltransferase, Transferase"	
ENSG00000183778	B3GALT5	"B3GalT-V, B3T5, beta3Gal-T5, GLCT5"	"Beta-1,3-galactosyltransferase 5"	Q9Y2C3	21	39556442-39673137	"Predicted intracellular proteins"		"Glycosyltransferase, Transferase"	
ENSG00000176383	B3GNT4	"B3GN-T4, beta3Gn-T4"	"UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 4"	Q9C0J1	12	122203543-122208952	"Enzymes, Predicted intracellular proteins"		"Glycosyltransferase, Transferase"	
ENSG00000135454	B4GALNT1	"beta1-4GalNAc-T, GALGT, SPG26"	"Beta-1,4-N-acetyl-galactosaminyltransferase 1"	Q00973	12	57623410-57633355	"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins"	"Lipid metabolism, Sphingolipid metabolism"	"Glycosyltransferase, Transferase"	"Disease mutation, Hereditary spastic paraplegia, Neurodegeneration"
ENSG00000182272	B4GALNT4	"FLJ25045, NGalNAc-T1"	"Beta-1,4-N-acetyl-galactosaminyltransferase 4"	Q76KP1	11	369796-382116	"Enzymes, Predicted intracellular proteins"		Transferase	
ENSG00000118276	B4GALT6	beta4GalT-VI	"Beta-1,4-galactosyltransferase 6"	Q9UBX8	18	31622247-31685836	"Enzymes, Predicted intracellular proteins"	"Lipid biosynthesis, Lipid metabolism, Sphingolipid metabolism"	"Glycosyltransferase, Transferase"	
ENSG00000174684	B4GAT1	"B3GN-T1, B3GNT1, B3GNT6, BETA3GNTI, iGAT, iGNT"	"Beta-1,4-glucuronyltransferase 1"	O43505	11	66345372-66347692	"Disease related genes, Plasma proteins, Predicted intracellular proteins"		"Glycosyltransferase, Transferase"	"Congenital muscular dystrophy, Disease mutation, Dystroglycanopathy, Lissencephaly"
ENSG00000266074	BAHCC1	"BAHD2, KIAA1447"	"BAH domain and coiled-coil containing 1"		17	81395475-81466332	"Predicted intracellular proteins"			
ENSG00000007516	BAIAP3	"BAP3, KIAA0734"	"BAI1 associated protein 3"	O94812	16	1333601-1349441	"Predicted intracellular proteins"	"Exocytosis, Transport"		
ENSG00000176788	BASP1	"CAP-23, CAP23, NAP-22, NAP22"	"Brain abundant membrane attached signal protein 1"	P80723	5	17065598-17276843	"Plasma proteins, Predicted intracellular proteins, Transporters"			
ENSG00000064787	BCAS1	"AIBC1, NABC1"	"Breast carcinoma amplified sequence 1"	O75363	20	53936777-54070594	"Predicted intracellular proteins"			
ENSG00000127152	BCL11B	"CTIP-2, CTIP2, hRIT1-alpha, ZNF856B"	"B cell CLL/lymphoma 11B"	Q9C0K0	14	99169287-99271524	"Cancer-related genes, Disease related genes, Plasma proteins, Predicted intracellular proteins, Transcription factors"	"Transcription, Transcription regulation"	Repressor	"Cancer-related genes, Disease mutation, Mental retardation, SCID"
ENSG00000176697	BDNF		"Brain derived neurotrophic factor"	P23560	11	27654893-27722058	"Cancer-related genes, Disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins, RAS pathway related proteins"		"Growth factor"	"Cancer-related genes, Disease mutation"
ENSG00000166546	BEAN1	SCA31	"Brain expressed associated with NEDD4 1"	Q3B7T3	16	66427297-66493529	"Disease related genes, Predicted intracellular proteins, Predicted membrane proteins"			"Neurodegeneration, Spinocerebellar ataxia"
ENSG00000183092	BEGAIN	KIAA1446	"Brain enriched guanylate kinase associated"	Q9BUH8	14	100537147-100587413	"Predicted intracellular proteins"			
ENSG00000151917	BEND6	"bA203B9.1, C6orf65, FLJ30162"	"BEN domain containing 6"	Q5SZJ8	6	56955126-57027342	"Predicted intracellular proteins"	"Neurogenesis, Transcription, Transcription regulation"	Repressor	
ENSG00000133169	BEX1		"Brain expressed X-linked 1"	Q9HBH7	X	103062651-103064240	"Predicted intracellular proteins"	"Differentiation, Neurogenesis"	"Developmental protein"	
ENSG00000133134	BEX2	DJ79P11.1	"Brain expressed X-linked 2"	Q9BXY8	X	103309346-103311046	"Predicted intracellular proteins"	"Apoptosis, Cell cycle"		
ENSG00000184515	BEX5	NGFRAP1L1	"Brain expressed X-linked 5"	Q5H9J7	X	102153708-102156057	"Predicted intracellular proteins"			
ENSG00000242252	BGLAP	OCN	"Bone gamma-carboxyglutamate protein"	P02818	1	156241962-156243321	"FDA approved drug targets, Predicted secreted proteins"	Biomineralization		"FDA approved drug targets"
ENSG00000198908	BHLHB9	"GASP3, KIAA1701, p60TRP"	"Basic helix-loop-helix family member b9"	Q6PI77	X	102720688-102753540	"Predicted intracellular proteins"			
ENSG00000151746	BICD1		"BICD cargo adaptor 1"	Q96G01	12	32106835-32383633	"Predicted intracellular proteins"	"Host-virus interaction"		
ENSG00000270181	BIVM-ERCC5		"BIVM-ERCC5 readthrough"		13	102799110-102875994	"Predicted intracellular proteins"			
ENSG00000176720	BOK	"BCL2L9, BOKL, MGC4631"	"BOK, BCL2 family apoptosis regulator"	Q9UMX3	2	241551424-241574138	"Plasma proteins, Predicted membrane proteins"	Apoptosis		
ENSG00000182685	BRICD5	"C16orf79, MGC21830"	"BRICHOS domain containing 5"	Q6PL45	16	2209253-2211950	"Predicted intracellular proteins, Predicted membrane proteins"			
ENSG00000162670	BRINP3	"DBCCR1L, DBCCR1L1, FAM5C"	"BMP/retinoic acid inducible neural specific 3"	Q76B58	1	190097662-190478404	"Predicted intracellular proteins, Predicted secreted proteins"	"Cell cycle, Growth arrest"		
ENSG00000132640	BTBD3	"dJ742J24.1, KIAA0952"	"BTB domain containing 3"	Q9Y2F9	20	11890723-11926609	"Predicted intracellular proteins"	Neurogenesis		
ENSG00000259288	BUB1B-PAK6		"BUB1B-PAK6 readthrough"		15	40217428-40276396	"Predicted intracellular proteins, RAS pathway related proteins"			
ENSG00000214688	C10orf105	FLJ00245	"Chromosome 10 open reading frame 105"	Q8TEF2	10	71711702-71737824	"Predicted intracellular proteins"			
ENSG00000183644	C11orf88	FLJ46266	"Chromosome 11 open reading frame 88"	Q6PI97	11	111514785-111537031	"Predicted intracellular proteins"			
ENSG00000257057	C11orf97	LINC01171	"Chromosome 11 open reading frame 97"	A0A1B0GVM6	11	94512432-94532123	"Predicted intracellular proteins"			
ENSG00000174456	C12orf76	FLJ40142	"Chromosome 12 open reading frame 76"	Q8N812	12	110027028-110073686	"Predicted intracellular proteins, Predicted membrane proteins"			
ENSG00000227051	C14orf132	C14orf88	"Chromosome 14 open reading frame 132"	Q9NPU4	14	96039324-96093889	"Predicted membrane proteins"			
ENSG00000139971	C14orf37	UT2	"Chromosome 14 open reading frame 37"	Q86TY3	14	57999735-58298139	"Predicted intracellular proteins, Predicted membrane proteins"			
ENSG00000205363	C15orf59	"INSYN1, LOC388135, MGC131524"	"Chromosome 15 open reading frame 59"	Q2T9L4	15	73735431-73752747	"Predicted intracellular proteins"			
ENSG00000166780	C16orf45	FLJ32618	"Chromosome 16 open reading frame 45"	Q96MC5	16	15434295-15625028	"Predicted intracellular proteins"			
ENSG00000162817	C1orf115	FLJ14146	"Chromosome 1 open reading frame 115"	Q9H7X2	1	220689845-220699157	"Predicted intracellular proteins"			
ENSG00000142686	C1orf216	FLJ38984	"Chromosome 1 open reading frame 216"	Q8TAB5	1	35713875-35719472	"Predicted intracellular proteins"			
ENSG00000162598	C1orf87	"CREF, MGC34837"	"Chromosome 1 open reading frame 87"	Q8N0U7	1	59987269-60073770	"Predicted intracellular proteins"			
ENSG00000131094	C1QL1	"C1QRF, C1QTNF14, CRF"	"Complement C1q like 1"	O75973	17	44959693-44968071	"Plasma proteins, Predicted secreted proteins"			
ENSG00000186897	C1QL4	"C1QTNF11, CTRP11"	"Complement C1q like 4"	Q86Z23	12	49332411-49337188	"Predicted secreted proteins"			
ENSG00000101220	C20orf27	FLJ20550	"Chromosome 20 open reading frame 27"	Q9GZN8	20	3753508-3768387	"Predicted intracellular proteins"			
ENSG00000205929	C21orf62	"B37, C21orf120, PRED81"	"Chromosome 21 open reading frame 62"	Q9NYP8	21	32793564-32813743	"Predicted intracellular proteins, Predicted secreted proteins"			
ENSG00000184208	C22orf46	"CTA-216E10.6, FLJ23584"	"Chromosome 22 open reading frame 46"	C9J442	22	41688939-41698136	"Predicted secreted proteins"			
ENSG00000172375	C2CD2L	"KIAA0285, TMEM24"	"C2CD2 like"	O14523	11	119102198-119118544	"Predicted intracellular proteins, Predicted membrane proteins, Transporters"	"Lipid transport, Transport"		
ENSG00000183186	C2CD4C	"FAM148C, KIAA1957, NLF3"	"C2 calcium dependent domain containing 4C"	Q8TF44	19	405438-409170	"Predicted intracellular proteins"			
ENSG00000150873	C2orf50	FLJ25143	"Chromosome 2 open reading frame 50"	Q96LR7	2	11133053-11146790	"Predicted intracellular proteins"			
ENSG00000177994	C2orf73	FLJ40298	"Chromosome 2 open reading frame 73"	Q8N5S3	2	54330034-54383742	"Predicted intracellular proteins"			
ENSG00000205086	C2orf91		"Chromosome 2 open reading frame 91"	Q6ZV80	2	41935368-41954266	"Predicted intracellular proteins"			
ENSG00000163632	C3orf49		"Chromosome 3 open reading frame 49"	Q96BT1	3	63819362-63848636	"Predicted intracellular proteins"			
ENSG00000180044	C3orf80		"Chromosome 3 open reading frame 80"	F5H4A9	3	160225496-160228213	"Predicted membrane proteins"			
ENSG00000197826	C4orf22		"Chromosome 4 open reading frame 22"	Q6V702	4	80335720-80963756	"Predicted intracellular proteins"			
ENSG00000205129	C4orf47	LOC441054	"Chromosome 4 open reading frame 47"	A7E2U8	4	185426249-185449826	"Predicted intracellular proteins"			
ENSG00000243449	C4orf48		"Chromosome 4 open reading frame 48"	Q5BLP8	4	2041993-2043970	"Predicted secreted proteins"			
ENSG00000112539	C6orf118	"bA85G2.1, MGC23884"	"Chromosome 6 open reading frame 118"	Q5T5N4	6	165279664-165309607	"Predicted intracellular proteins"			
ENSG00000197261	C6orf141	MGC46457	"Chromosome 6 open reading frame 141"	Q5SZD1	6	49550646-49561907	"Predicted intracellular proteins"			
ENSG00000164746	C7orf57		"Chromosome 7 open reading frame 57"	Q8NEG2	7	48035511-48061304	"Predicted intracellular proteins"			
ENSG00000164743	C8orf48	FLJ25402	"Chromosome 8 open reading frame 48"	Q96LL4	8	13566843-13568287	"Predicted intracellular proteins"			
ENSG00000204711	C9orf135		"Chromosome 9 open reading frame 135"	Q5VTT2	9	69820793-69906232	"Predicted intracellular proteins"			
ENSG00000171159	C9orf16	"EST00098, FLJ12823, MGC4639"	"Chromosome 9 open reading frame 16"	Q9BUW7	9	128160260-128163928	"Predicted intracellular proteins"			
ENSG00000154975	CA10	"CA-RPX, CARPX, HUCEP-15"	"Carbonic anhydrase 10"	Q9NS85	17	51630313-52160017	"Predicted intracellular proteins, Predicted secreted proteins"			
ENSG00000063180	CA11	"CARP2, CARPX1"	"Carbonic anhydrase 11"	O75493	19	48637942-48646312	"Predicted intracellular proteins, Predicted secreted proteins"			
ENSG00000118298	CA14		"Carbonic anhydrase 14"	Q9ULX7	1	150257159-150265078	"Enzymes, FDA approved drug targets, Predicted intracellular proteins, Predicted membrane proteins"		Lyase	"FDA approved drug targets"
ENSG00000178538	CA8	"CALS, CARP"	"Carbonic anhydrase 8"	P35219	8	60187347-60281412	"Cancer-related genes, Disease related genes, Predicted intracellular proteins"			"Cancer-related genes, Disease mutation, Mental retardation"
ENSG00000100314	CABP7	MGC57793	"Calcium binding protein 7"	Q86V35	22	29720084-29731839	"Predicted membrane proteins"			
ENSG00000006283	CACNA1G	"Cav3.1, NBR13"	"Calcium voltage-gated channel subunit alpha1 G"	O43497	17	50561068-50627474	"Disease related genes, FDA approved drug targets, Plasma proteins, Predicted membrane proteins, Voltage-gated ion channels"	"Calcium transport, Ion transport, Transport"	"Calcium channel, Ion channel, Voltage-gated channel"	"Disease mutation, FDA approved drug targets, Neurodegeneration, Spinocerebellar ataxia"
ENSG00000100346	CACNA1I	Cav3.3	"Calcium voltage-gated channel subunit alpha1 I"	Q9P0X4	22	39570753-39689737	"FDA approved drug targets, Plasma proteins, Predicted membrane proteins, Voltage-gated ion channels"	"Calcium transport, Ion transport, Transport"	"Calcium channel, Ion channel, Voltage-gated channel"	"FDA approved drug targets"
ENSG00000157445	CACNA2D3	HSA272268	"Calcium voltage-gated channel auxiliary subunit alpha2delta 3"	Q8IZS8	3	54122547-55074557	"Predicted intracellular proteins, Predicted membrane proteins, Transporters"	"Calcium transport, Ion transport, Transport"	"Calcium channel, Ion channel, Voltage-gated channel"	
ENSG00000167535	CACNB3	CACNLB3	"Calcium voltage-gated channel auxiliary subunit beta 3"	P54284	12	48813794-48828941	"FDA approved drug targets, Predicted intracellular proteins, Transporters"	"Calcium transport, Ion transport, Transport"	"Calcium channel, Ion channel, Voltage-gated channel"	"FDA approved drug targets"
ENSG00000182389	CACNB4	EJM4	"Calcium voltage-gated channel auxiliary subunit beta 4"	O00305	2	151832768-152099475	"Disease related genes, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins, Transporters"	"Calcium transport, Ion transport, Transport"	"Calcium channel, Ion channel, Voltage-gated channel"	"Disease mutation, Epilepsy, FDA approved drug targets"
ENSG00000075461	CACNG4	"MGC11138, MGC24983"	"Calcium voltage-gated channel auxiliary subunit gamma 4"	Q9UBN1	17	66964910-67033398	"Predicted membrane proteins, Transporters"	"Calcium transport, Ion transport, Transport"	"Calcium channel, Ion channel, Voltage-gated channel"	
ENSG00000162706	CADM3	"BIgR, FLJ10698, IGSF4B, Necl-1, NECL1, SynCAM3, TSLL1"	"Cell adhesion molecule 3"	Q8N126	1	159171609-159203313	"Predicted intracellular proteins, Predicted membrane proteins"	"Cell adhesion"		
ENSG00000105767	CADM4	"IGSF4C, Necl-4, SynCAM4, TSLL2"	"Cell adhesion molecule 4"	Q8NFZ8	19	43622368-43639839	"Predicted membrane proteins"	"Cell adhesion"		"Tumor suppressor"
ENSG00000163618	CADPS	"CAPS, CAPS1, KIAA1121, UNC-31"	"Calcium dependent secretion activator"	Q9ULU8	3	62398346-62875389	"Plasma proteins, Predicted intracellular proteins"	"Exocytosis, Protein transport, Transport"		
ENSG00000004948	CALCR	CTR	"Calcitonin receptor"		7	93424487-93574730	"Predicted intracellular proteins, Predicted membrane proteins"			
ENSG00000185933	CALHM1	FAM26C	"Calcium homeostasis modulator 1"	Q8IU99	10	103453387-103458888	"Predicted membrane proteins, Transporters"	"Calcium transport, Ion transport, Sensory transduction, Taste, Transport"	"Calcium channel, Ion channel"	
ENSG00000198668	CALM1	"CALML2, CAMI, DD132, PHKD"	"Calmodulin 1"	P0DP23	14	90396502-90408261	"Disease related genes, Predicted intracellular proteins, RAS pathway related proteins"	"Host-virus interaction"		"Disease mutation, Long QT syndrome"
ENSG00000160014	CALM3	PHKD	"Calmodulin 3"	P0DP25	19	46601074-46610793	"Disease related genes, Predicted intracellular proteins, RAS pathway related proteins"			"Disease mutation, Long QT syndrome"
ENSG00000183166	CALN1	CABP8	"Calneuron 1"	Q9BXU9	7	71779491-72447151	"Predicted intracellular proteins, Predicted membrane proteins"			
ENSG00000058404	CAMK2B	"CAM2, CAMK2, CAMKB"	"Calcium/calmodulin dependent protein kinase II beta"	Q13554	7	44217150-44334577	"Enzymes, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins"	"Differentiation, Neurogenesis"	"Actin-binding, Calmodulin-binding, Developmental protein, Kinase, Serine/threonine-protein kinase, Transferase"	"Mental retardation"
ENSG00000162545	CAMK2N1	CaMKIINalpha	"Calcium/calmodulin dependent protein kinase II inhibitor 1"	Q7Z7J9	1	20482391-20486220	"Predicted intracellular proteins"		"Protein kinase inhibitor"	
ENSG00000152495	CAMK4	CaMK-GR	"Calcium/calmodulin dependent protein kinase IV"	Q16566	5	111223653-111494886	"Enzymes, Predicted intracellular proteins, Predicted membrane proteins"	"Adaptive immunity, Immunity, Inflammatory response"	"Calmodulin-binding, Kinase, Serine/threonine-protein kinase, Transferase"	
ENSG00000004660	CAMKK1	"CAMKKA, DKFZp761M0423, MGC34095"	"Calcium/calmodulin dependent protein kinase kinase 1"	Q8N5S9	17	3860315-3894891	"Enzymes, Predicted intracellular proteins"		"Calmodulin-binding, Kinase, Serine/threonine-protein kinase, Transferase"	
